Date,Open,High,Low,Close,Adj Close,Volume,MACD,Signal Line,Buy_Signal_Price,Sell_Signal_Price,Daily_Return,Cumulative_Return,trade_return,portfolio_value,stock_returns
2018-03-27,3949.5,3990.050048828125,3923.0,3978.60009765625,3885.975341796875,106468,2.228320868945957,0.44566417378919143,3978.60009765625,,0.0,1.0,0.0,100724.03554897096,0.007240531052215227
2018-03-28,3974.89990234375,3974.89990234375,3923.0,3950.0,3858.041748046875,464340,1.7204414686161726,0.7006196327545877,,,-0.003203572046805679,0.9967964279531943,-1235.9514699452286,100000.0,-0.007188482620582581
2018-04-02,4123.0,4123.0,3923.050048828125,3978.5,3885.877685546875,303869,3.523454713729734,1.265186648949617,,,0.005055000848164142,1.0018352347419448,1964.3114996301567,100721.5043101618,0.007215189873417627
2018-04-03,3967.0,3991.60009765625,3914.5,3951.199951171875,3859.21337890625,240321,2.7688514020883304,1.5659195995773598,,,-0.008681519979564097,0.9931377821353014,-3350.383805437568,100030.36853761284,-0.006861894892076115
2018-04-04,3952.0,3974.949951171875,3872.60009765625,3881.300048828125,3790.94091796875,177225,-3.3001520809880276,0.5927052634642824,,3881.300048828125,-0.027702325369661367,0.9656255561576854,-10501.787876673307,98260.75417374384,-0.01769080360588149
2018-04-05,3935.0,3979.85009765625,3915.0,3966.60009765625,3874.255126953125,124669,-1.371313043835471,0.1999016020043317,,,0.013025993085869866,0.9782037879757346,5046.602049658729,100420.24892329011,0.0219771849006829
2018-04-06,3950.0,3989.14990234375,3920.050048828125,3949.5,3857.552978515625,214201,-1.1768519864499467,-0.07544911568652396,,,-0.0008617879102340207,0.9773607837775119,-332.43925199720024,99987.33114976017,-0.004311021336976695
2018-04-09,3956.10009765625,3974.949951171875,3901.449951171875,3918.199951171875,3826.982177734375,107499,-3.449781397128845,-0.7503155719749882,,,0.00059792824560552,0.9779451753962796,228.82607394963074,99194.93949674796,-0.007925066167394634
2018-04-10,3944.800048828125,3947.85009765625,3908.050048828125,3931.199951171875,3839.679443359375,115836,-4.178365513505014,-1.4359255602809933,,,-0.0024894174253981324,0.9755106616355641,-955.856491424183,99524.0511667144,0.0033178500745252304
2018-04-11,3921.0,3936.949951171875,3890.0,3924.64990234375,3833.28173828125,139653,-5.211935063753117,-2.191127460975418,,,0.0023925508325199976,0.9778446204811924,917.1321414208509,99358.22338422958,-0.0016661703575195919
2018-04-12,3885.050048828125,3900.0,3865.0,3872.300048828125,3782.150390625,218223,-10.041170449616402,-3.7611360587036153,,,0.029226993374226698,1.0064240787250194,11054.08844071258,98032.90471233768,-0.013338732069926085
2018-04-13,3884.800048828125,3905.699951171875,3862.5,3878.949951171875,3788.6455078125,304761,-13.192201127861608,-5.6473490725352145,,,-0.006459029106818584,0.9999235563067314,-2447.0971610378415,98201.25740553463,0.0017173003795929453
2018-04-16,3865.14990234375,3924.050048828125,3865.14990234375,3917.0,3825.809814453125,180569,-12.54594484885456,-7.027068227799084,,,-0.05539705739308634,0.9445307336693084,-21193.860586629275,99164.55197484404,0.009809368336044066
2018-04-17,3920.0,3945.0,3902.550048828125,3917.25,3826.053955078125,103447,-11.877169368448449,-7.997088455928958,,,-0.0004484260619995648,0.9441071814719715,-171.57023080735433,99170.88007186692,6.382435537410913e-05
2018-04-18,3934.0,4008.699951171875,3922.449951171875,3992.35009765625,3899.40576171875,159338,-5.366421446731238,-7.470955054089415,3992.35009765625,,-0.15331746310809619,0.7993590635065537,-59784.69990158121,101072.15049429715,0.01917163766832597
2018-04-19,4015.199951171875,4163.5,4007.550048828125,4103.4501953125,4007.91943359375,449754,8.452108971386224,-4.286342248994288,,,-0.2079036691413712,0.6331693812421308,-83326.11558671469,103884.81243425503,0.02782824525370975
2018-04-20,4105.0,4134.5,4058.050048828125,4080.89990234375,3985.893798828125,192832,17.42524189349251,0.055974579503072164,,,0.023555715233567455,0.6480841388812846,9389.057927643771,103313.91050514097,-0.005495446976427232
2018-04-23,4072.10009765625,4162.64990234375,4072.10009765625,4143.7001953125,4047.231689453125,111251,29.149947088663794,5.8747690813352165,,,0.0008613783529177875,0.6486423845293864,348.6197766537807,104903.78160117181,0.01538883444131578
2018-04-24,4168.0,4173.7001953125,4096.0,4119.25,4023.351318359375,378441,36.09878968038038,11.91957320114425,,,-0.034663611208116736,0.626158097098954,-13946.388585327328,104284.80511897487,-0.0059005705432451094
2018-04-25,4134.0,4162.75,4079.0,4134.7998046875,4038.53857421875,482116,42.34317634152876,18.00429382922115,,,0.04499373622041754,0.6543312893521029,18170.893932437957,104678.45705047777,0.0037749116192267174
2018-04-26,4175.0,4175.0,4026.75,4079.449951171875,3984.47802734375,512593,42.44043649523155,22.89152236242323,,,-0.24100846200142362,0.49663191166594406,-96029.29212485836,103277.21387050523,-0.013386344231920644
2018-04-27,4077.5,4122.85009765625,4036.0,4062.35009765625,3967.776123046875,127581,40.7006401304875,26.453345916036085,,,-0.09595535803766102,0.4489774187691104,-38072.937850024544,102844.30242507232,-0.0041917056760832905
2018-04-30,4099.9501953125,4127.9501953125,4078.050048828125,4108.85009765625,4013.193359375,177986,42.49675425117357,29.662027583063583,,,0.30279880363201017,0.584927244030185,121519.01479626779,104021.5119861435,0.011446576213809845
